full_id,bbox,longitude,latitude
w442132510,6,10.303665749999947,53.4408897500001
w798500166,5,10.0131737,53.50037750000027
w614039379,1,10.14660559999999,53.630010250000076
w249820594,13,9.988591450000001,53.58172280000012
w1095129750,8,10.11054379999999,53.59296525000013
w29329055,3,9.861706650000011,53.60716870000011
w753532878,10,10.211821699999952,53.50404350000034
w28712013,0,9.957687000000005,53.546567900000184
w621764956,11,10.188970999999983,53.60708315000015
w42733824,9,9.905460450000007,53.6163506500001
w252378409,4,10.046276149999997,53.587481850000124
w745626372,7,9.9939438,53.458821150000055
w88380387,14,10.149937549999976,53.529719950000256
w1040637125,12,9.969574750000003,53.576562300000134
w27956327,2,10.053305349999995,53.557214450000174
