bbox,full_id,direction,longitude,latitude
14,n2702781888,forward,10.1396144,53.5384363
12,n3436722865,backward,9.9558161,53.5794093
2,n1657661738,backward,10.0527711,53.5500399
2,n1600012919,backward,10.0478154,53.5506309
4,n354086667,forward,10.0431826,53.5817372
4,n5469466724,forward,10.0334051,53.5826525
10,n2314686630,backward,10.2048752,53.5036722
2,n1657820300,forward,10.0646853,53.5499205
11,n3834754065,backward,10.1818875,53.6027904
12,n3436722866,forward,9.9557045,53.579485
2,n775786615,forward,10.0476918,53.5506437
4,n1796382320,forward,10.032968,53.5826981
0,n2821539818,forward,9.9440354,53.5506199
14,n2702781886,backward,10.1397473,53.5382876
7,n310743260,backward,10.0025117,53.4540316
5,n2044128539,forward,10.012066,53.4941799
4,n3315275400,forward,10.0474163,53.5825298
5,n6689793110,forward,10.0215478,53.4947435
13,n3261872533,forward,9.9746514,53.5896764
4,n1775353910,forward,10.0502371,53.5944148
7,n3881201882,backward,9.9860105,53.4561653
2,n984154909,backward,10.0575061,53.5540494
7,n7135277336,backward,9.9855313,53.4628488
2,n1657661741,forward,10.0525942,53.550058
4,n2558757684,forward,10.0528828,53.5788166
7,n7299738017,backward,9.9850771,53.4623138
7,n10046889346,forward,9.986878,53.4660082
4,n2051997705,forward,10.052773,53.5790922
1,n423493959,backward,10.1348371,53.6375708
5,n6689793111,backward,10.0211869,53.4948422
13,n3696674426,backward,9.9941048,53.5849071
