bbox,_geometry
6,"POLYGON ((10.288617419010476 53.43190440492543,10.288617419010476 53.44987509507477,10.318714080989418 53.44987509507477,10.318714080989418 53.43190440492543,10.288617419010476 53.43190440492543))"
5,"POLYGON ((9.998104224360931 53.491392430596704,9.998104224360931 53.509362569403834,10.028243175639068 53.509362569403834,10.028243175639068 53.491392430596704,9.998104224360931 53.491392430596704))"
1,"POLYGON ((10.131489923952687 53.62102533169719,10.131489923952687 53.63899516830296,10.161721276047293 53.63899516830296,10.161721276047293 53.62102533169719,10.131489923952687 53.62102533169719))"
13,"POLYGON ((9.973493000301621 53.57273785386568,9.973493000301621 53.59070774613456,10.003689899698381 53.59070774613456,10.003689899698381 53.57273785386568,9.973493000301621 53.57273785386568))"
8,"POLYGON ((10.095441356683743 53.58398029511869,10.095441356683743 53.60195020488156,10.125646243316236 53.60195020488156,10.125646243316236 53.58398029511869,10.095441356683743 53.58398029511869))"
3,"POLYGON ((9.846599129595544 53.59818375460594,9.846599129595544 53.61615364539428,9.876814170404478 53.61615364539428,9.876814170404478 53.59818375460594,9.846599129595544 53.59818375460594))"
10,"POLYGON ((10.196750988114433 53.49505834390319,10.196750988114433 53.5130286560975,10.226892411885471 53.5130286560975,10.226892411885471 53.49505834390319,10.196750988114433 53.49505834390319))"
0,"POLYGON ((9.942601088535767 53.53758289762975,9.942601088535767 53.55555290237062,9.972772911464244 53.55555290237062,9.972772911464244 53.53758289762975,9.942601088535767 53.53758289762975))"
11,"POLYGON ((10.173863545806825 53.598098167739266,10.173863545806825 53.616068132261034,10.20407845419314 53.616068132261034,10.20407845419314 53.598098167739266,10.173863545806825 53.598098167739266))"
9,"POLYGON ((9.89034963479062 53.607365738894714,9.89034963479062 53.62533556110549,9.920571265209393 53.62533556110549,9.920571265209393 53.607365738894714,9.89034963479062 53.607365738894714))"
4,"POLYGON ((10.031175649167078 53.57849690796266,10.031175649167078 53.59646679203759,10.061376650832916 53.59646679203759,10.061376650832916 53.57849690796266,10.031175649167078 53.57849690796266))"
7,"POLYGON ((9.978889010961925 53.449836018178516,9.978889010961925 53.467806281821595,10.008998589038075 53.467806281821595,10.008998589038075 53.449836018178516,9.978889010961925 53.449836018178516))"
14,"POLYGON ((10.134857673463717 53.520734878500896,10.134857673463717 53.53870502149962,10.165017426536235 53.53870502149962,10.165017426536235 53.520734878500896,10.134857673463717 53.520734878500896))"
12,"POLYGON ((9.954478142481534 53.567577344612175,9.954478142481534 53.58554725538809,9.984671357518472 53.58554725538809,9.984671357518472 53.567577344612175,9.954478142481534 53.567577344612175))"
2,"POLYGON ((10.038215649652441 53.54822946074977,10.038215649652441 53.566199439250575,10.068395050347549 53.566199439250575,10.068395050347549 53.54822946074977,10.038215649652441 53.54822946074977))"
